职位名称,详细链接,公司名称,工作地点,薪资,发布时间
Android开发工程师,https://jobs.51job.com/jinan-lxq/102783845.html?s=01&t=0,徐州再出发网络科技有限公司,异地招聘,0.7-1.4万/月,05-27
Android开发工程师,https://jobs.51job.com/jinan-lxq/112786136.html?s=01&t=0,徐州再出发网络科技有限公司,异地招聘,0.8-1.3万/月,05-27
高级软件工程师,https://jobs.51job.com/shanghai-ptq/109560137.html?s=01&t=0,徐州迅达网络科技有限公司,异地招聘,0.8-1万/月,05-13
实施工程师,https://jobs.51job.com/xuzhou/111293724.html?s=01&t=0,特力惠信息科技股份有限公司,徐州,5-6千/月,06-24
软件工程师（工作地：徐州）,https://jobs.51job.com/xuzhou/111946465.html?s=01&t=0,南京富士通南大软件技术有限公司,徐州,8-10万/年,06-20
Android开发工程师,https://jobs.51job.com/xuzhou/97661168.html?s=01&t=0,江苏云河谷网络科技有限公司,徐州,6-9千/月,05-05
java中级软件工程师,https://jobs.51job.com/xuzhou/111822673.html?s=01&t=0,南京瑞玥科技有限公司,徐州,4.5-6.5千/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/107955642.html?s=01&t=0,江苏鼎驰电子科技有限公司,徐州,4.5-6千/月,06-28
EAP工程师,https://jobs.51job.com/xuzhou/107882675.html?s=01&t=0,徐州鑫晶半导体科技有限公司,徐州,1-1.5万/月,06-20
.NET开发工程师（双休）,https://jobs.51job.com/xuzhou/111921310.html?s=01&t=0,南京智采信息科技有限公司,徐州,4.5-6千/月,06-20
IT工程师技术员Java，PHP，c#，sap等,https://jobs.51job.com/wuhan/108880435.html?s=01&t=0,湖北一片语科技有限公司,异地招聘,1.2-4万/月,06-28
程序员,https://jobs.51job.com/xuzhou/102534889.html?s=01&t=0,江苏雷奥生物科技有限公司,徐州,4-12万/年,06-17
中高级JAVA开发工程师,https://jobs.51job.com/xuzhou/104480834.html?s=01&t=0,北京摩卡软件有限公司,徐州,6-8千/月,06-28
JAVA程序员,https://jobs.51job.com/xuzhou/112587779.html?s=01&t=0,徐州海派科技有限公司,徐州,5-8千/月,06-28
网站开发,https://jobs.51job.com/xuzhou/107606597.html?s=01&t=0,智地信息科技（徐州）有限公司,徐州,0.4-1万/月,06-13
java中高级工程师,https://jobs.51job.com/xuzhou/104419055.html?s=01&t=0,徐州信通科技有限公司,徐州,0.6-1万/月,06-28
外贸业务员,https://jobs.51job.com/xuzhou/109606931.html?s=01&t=0,徐州优力特回转支承制造有限公司,徐州,4-8千/月,06-12
软件高级工程师,https://jobs.51job.com/xuzhou/113700358.html?s=01&t=0,徐州朗坤环保科技有限公司,徐州,6-8千/月,06-05
Java项目组长,https://jobs.51job.com/xuzhou/114713157.html?s=01&t=0,徐州盛凡网络科技有限公司,徐州,0.7-1万/月,06-28
项目助理（徐州）,https://jobs.51job.com/xuzhou/111813130.html?s=01&t=0,江苏大开大科技发展有限公司,徐州,6-8千/月,06-04
JAVA软件工程师（徐州）,https://jobs.51job.com/xuzhou/80638527.html?s=01&t=0,天泽信息产业股份有限公司,徐州,0.7-1.2万/月,06-28
Java架构师,https://jobs.51job.com/xuzhou/109882445.html?s=01&t=0,江苏野马软件科技有限公司,徐州,0.7-1.2万/月,06-28
前端开发工程师,https://jobs.51job.com/xuzhou/109648363.html?s=01&t=0,徐州矿一自动化科技有限公司,徐州,6-8千/月,05-29
Java开发工程师,https://jobs.51job.com/xuzhou/104045920.html?s=01&t=0,徐州牛牛牛网络科技有限公司,徐州,1-2万/月,06-28
软件开发工程师,https://jobs.51job.com/xuzhou/107100408.html?s=01&t=0,徐州邦贤信息科技有限公司,徐州,0.6-1万/月,05-13
Java开发工程师,https://jobs.51job.com/xuzhou/108271888.html?s=01&t=0,江苏万邦云健康科技有限公司,徐州,4.5-8千/月,06-28
计算机软件工程师,https://jobs.51job.com/xuzhou/113257166.html?s=01&t=0,徐州蓝芯电子科技有限公司,徐州,4.5-6千/月,05-11
Java高级开发工程师,https://jobs.51job.com/xuzhou/97111637.html?s=01&t=0,上海才扬软件科技有限公司,徐州,1-2万/月,06-28
少儿编程老师,https://jobs.51job.com/xuzhou/110953045.html?s=01&t=0,徐州思卡奇教育科技有限公司,徐州,4.5-8千/月,05-11
Java开发工程师,https://jobs.51job.com/xuzhou/64216300.html?s=01&t=0,徐州金蝶软件有限公司,徐州,4-8千/月,06-28
Java软件工程师,https://jobs.51job.com/xuzhou/110911926.html?s=01&t=0,南京瑞玥科技有限公司,徐州,3.5-4.5千/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/114625465.html?s=01&t=0,上海泛微网络科技股份有限公司,徐州,5-7千/月,06-28
Java初级开发工程师,https://jobs.51job.com/xuzhou/104418889.html?s=01&t=0,徐州信通科技有限公司,徐州,3-5千/月,06-28
Java高级开发工程师,https://jobs.51job.com/xuzhou/114516332.html?s=01&t=0,徐州理士智荣知识产权代理有限公司,徐州,0.7-1.2万/月,06-28
Java高级开发工程师,https://jobs.51job.com/xuzhou/91665663.html?s=01&t=0,江苏野马软件科技有限公司,徐州,0.6-1万/月,06-28
Java 开发工程师,https://jobs.51job.com/xuzhou/84026606.html?s=01&t=0,徐州宣广信息科技有限公司,徐州,0.7-1万/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/87105636.html?s=01&t=0,江苏野马软件科技有限公司,徐州,5-8千/月,06-28
Java项目组长,https://jobs.51job.com/xuzhou/114709947.html?s=01&t=0,江苏盛凡知识产权服务股份有限公司,徐州,0.7-1万/月,06-28
Java高级开发工程师,https://jobs.51job.com/shenzhen/97110803.html?s=01&t=0,上海才扬软件科技有限公司,异地招聘,0.8-1.5万/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/109432994.html?s=01&t=0,徐州华博展览服务有限公司,徐州,0.6-1万/月,06-27
Java开发工程师,https://jobs.51job.com/xuzhou/87423205.html?s=01&t=0,上海才扬软件科技有限公司,徐州,4-8千/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/89888196.html?s=01&t=0,上海今创信息技术有限公司江苏分公司,徐州,6-8千/月,06-26
Java二次开发工程师,https://jobs.51job.com/xuzhou/76225315.html?s=01&t=0,徐州金蝶软件有限公司,徐州,4-8千/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/109537364.html?s=01&t=0,梓柏广告传媒（徐州）有限公司,徐州,3.5-8千/月,06-26
Java研发经理,https://jobs.51job.com/xuzhou/79288847.html?s=01&t=0,徐州金蝶软件有限公司,徐州,0.5-1万/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/114000680.html?s=01&t=0,徐州市易泊停车管理有限公司,徐州,9-11万/年,06-26
java软件运维工程师,https://jobs.51job.com/xuzhou/109843580.html?s=01&t=0,徐州金蝶软件有限公司,徐州,4.5-6千/月,06-28
java工程师,https://jobs.51job.com/xuzhou/112668790.html?s=01&t=0,江苏众铸电力工程有限责任公司,徐州,1-1.5万/月,06-25
Java高级开发工程师,https://jobs.51job.com/xuzhou/110355560.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,1-1.8万/月,06-21
Java高级开发工程师,https://jobs.51job.com/hangzhou-bjq/114568248.html?s=01&t=0,上海锋担信息科技有限公司,异地招聘,6-8千/月,06-24
Java高级开发工程师,https://jobs.51job.com/xuzhou/104790263.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,1-1.5万/月,06-21
Java中级开发工程师,https://jobs.51job.com/xuzhou/111891086.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,0.7-1万/月,06-21
Java开发项目经理,https://jobs.51job.com/xuzhou/86071197.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,1.2-1.8万/月,06-21
Java开发工程师,https://jobs.51job.com/xuzhou/109434618.html?s=01&t=0,江苏增宇信息科技开发有限公司,徐州,4-8千/月,06-19
急聘Java软件工程师,https://jobs.51job.com/xuzhou/77918586.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,15-20万/年,06-21
Java开发工程师,https://jobs.51job.com/beijing/112790940.html?s=01&t=0,北京力信联合科技有限公司,异地招聘,6-8千/月,06-17
Java高级开发工程师,https://jobs.51job.com/xuzhou/74745938.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,1.2-1.8万/月,06-21
Java高级开发工程师,https://jobs.51job.com/xuzhou/111634706.html?s=01&t=0,徐州齐云网络科技有限公司,徐州,5-9千/月,06-11
Java开发工程师（开发经理）,https://jobs.51job.com/xuzhou/74243822.html?s=01&t=0,江苏孟德网络科技有限公司,徐州,1.2-1.8万/月,06-21
Java讲师（徐州）,https://jobs.51job.com/xuzhou/108497575.html?s=01&t=0,南京矽鼎信息科技有限公司,徐州,5-8千/月,06-10
软件工程师,https://jobs.51job.com/nanjing/113580069.html?s=01&t=0,南京机蜂信息科技有限公司,异地招聘,0.8-1万/月,06-28
Java开发实施实习生,https://jobs.51job.com/xuzhou/107908847.html?s=01&t=0,江苏睿希信息科技有限公司,徐州,1.5-2.5千/月,06-05
软件开发员,https://jobs.51job.com/xuzhou/101552748.html?s=01&t=0,正大食品（徐州）有限公司,徐州,6-8千/月,06-28
Java后端初级开发工程师,https://jobs.51job.com/jinan-lxq/109894379.html?s=01&t=0,徐州再出发网络科技有限公司,异地招聘,0.6-1万/月,05-27
产品经理,https://jobs.51job.com/xuzhou/111044457.html?s=01&t=0,江苏野马软件科技有限公司,徐州,6-9千/月,06-28
JAVA开发工程师（徐州）,https://jobs.51job.com/xuzhou/112280824.html?s=01&t=0,上海铁勋智能识别系统有限公司,徐州,1-1.5万/月,05-24
Android开发工程师,https://jobs.51job.com/xuzhou/108892986.html?s=01&t=0,江苏野马软件科技有限公司,徐州,5-8千/月,06-28
Java工程师,https://jobs.51job.com/xuzhou/80205323.html?s=01&t=0,徐州迅达网络科技有限公司,徐州,4.5-6千/月,05-13
Web前端开发工程师,https://jobs.51job.com/xuzhou/114286369.html?s=01&t=0,江苏众铸电力工程有限责任公司,徐州,0.8-1万/月,06-28
Java开发工程师,https://jobs.51job.com/xuzhou/113171796.html?s=01&t=0,徐州易豪思房地产经纪有限公司,徐州,0.4-1.2万/月,05-05
软件开发工程师,https://jobs.51job.com/xuzhou/64944050.html?s=01&t=0,徐州金蝶软件有限公司,徐州,4-9千/月,06-28
java中高级后端开发,https://jobs.51job.com/xuzhou/97661080.html?s=01&t=0,江苏云河谷网络科技有限公司,徐州,8-9千/月,05-05
政务系统实施项目经理,https://jobs.51job.com/xuzhou/72716069.html?s=01&t=0,徐州金蝶软件有限公司,徐州,6-8千/月,06-28
Android开发工程师,https://jobs.51job.com/xuzhou/114831840.html?s=01&t=0,徐州睿鹏智能科技有限公司,徐州,6-8千/月,06-28
项目实施工程师,https://jobs.51job.com/xuzhou/105232922.html?s=01&t=0,上海泛微网络科技股份有限公司,徐州,6-8万/年,06-28
WEB全栈工程师,https://jobs.51job.com/xuzhou/113584617.html?s=01&t=0,江苏费尔曼安全科技有限公司,徐州,4-8千/月,06-28
项目实施工程师,https://jobs.51job.com/xuzhou/104843312.html?s=01&t=0,上海泛微网络科技股份有限公司,徐州,6-8万/年,06-28
运维工程师,https://jobs.51job.com/xuzhou/113297334.html?s=01&t=0,上海固买供应链管理有限公司,徐州,5-8千/月,06-28
数据库开发工程师,https://jobs.51job.com/xuzhou/112992054.html?s=01&t=0,广州天维信息技术股份有限公司,徐州,6-8千/月,06-27
软件工程师,https://jobs.51job.com/nanjing/113580090.html?s=01&t=0,南京机蜂信息科技有限公司,异地招聘,0.8-1万/月,06-28
Powerbuilder（pb）开发工程师,https://jobs.51job.com/xuzhou/89887486.html?s=01&t=0,上海今创信息技术有限公司江苏分公司,徐州,0.6-1.2万/月,06-26
IT软件开发工程师,https://jobs.51job.com/xuzhou/86417879.html?s=01&t=0,徐州罗特艾德回转支承有限公司,徐州,6-8千/月,06-28
高级开发工程师,https://jobs.51job.com/xuzhou/108672205.html?s=01&t=0,江苏鼎驰电子科技有限公司,徐州,0.6-1万/月,06-26
高级软件开发工程师,https://jobs.51job.com/xuzhou/97575813.html?s=01&t=0,福建医联康护信息技术有限公司,徐州,0.8-1万/月,06-28
大数据架构师,https://jobs.51job.com/xuzhou/110419734.html?s=01&t=0,徐州一团网络科技有限公司,徐州,1.5-3万/月,06-26
IT专员,https://jobs.51job.com/xuzhou/109036599.html?s=01&t=0,正大食品（徐州）有限公司,徐州,4.5-6千/月,06-28
广告系统架构师,https://jobs.51job.com/xuzhou/110419645.html?s=01&t=0,徐州一团网络科技有限公司,徐州,1.5-3万/月,06-26
编程老师,https://jobs.51job.com/xuzhou/113414200.html?s=01&t=0,徐州卡巴教育科技有限公司,徐州,4.5-6千/月,06-28
克而瑞爬虫工程师,https://jobs.51job.com/xuzhou/103293957.html?s=01&t=0,徐州易豪思房地产经纪有限公司,徐州,0.6-1万/月,06-21
Android软件设计,https://jobs.51job.com/xuzhou/79490643.html?s=01&t=0,徐州市凯信电子设备有限公司,徐州,6-8千/月,06-28
IT工程师,https://jobs.51job.com/xuzhou/106690157.html?s=01&t=0,徐州鑫晶半导体科技有限公司,徐州,6-8千/月,06-20
MES系统设计与实施工程师,https://jobs.51job.com/xuzhou/104623264.html?s=01&t=0,上海翊兴智能系统有限公司,徐州,0.7-1.4万/月,06-28
Web前端开发工程师,https://jobs.51job.com/xuzhou/113297237.html?s=01&t=0,上海固买供应链管理有限公司,徐州,0.5-1万/月,06-18
程式設計工程師,https://jobs.51job.com/xuzhou/103308999.html?s=01&t=0,富港电子（徐州）有限公司,徐州,3-4.5千/月,06-28
Android开发工程师,https://jobs.51job.com/xuzhou/112048065.html?s=01&t=0,徐州齐云网络科技有限公司,徐州,6-8千/月,06-11
营销系统维护管理员,https://jobs.51job.com/xuzhou/110046757.html?s=01&t=0,江苏万邦医药营销有限公司,徐州,4-8千/月,06-28
软件测试经理,https://jobs.51job.com/xuzhou/109843861.html?s=01&t=0,徐州金蝶软件有限公司,徐州,6-8千/月,06-08
软件工程师,https://jobs.51job.com/xuzhou/112992547.html?s=01&t=0,广州天维信息技术股份有限公司,徐州,6-8千/月,06-27
测试开发工程师,https://jobs.51job.com/xuzhou/80716299.html?s=01&t=0,徐州金蝶软件有限公司,徐州,4-8千/月,06-08
软件实施工程师,https://jobs.51job.com/nanjing-yhtq/109897231.html?s=01&t=0,南京爱福路汽车科技有限公司,异地招聘,8-15万/年,06-26
安卓工程师,https://jobs.51job.com/xuzhou/105524913.html?s=01&t=0,徐州矿一自动化科技有限公司,徐州,6-8千/月,05-29
广告算法工程师,https://jobs.51job.com/xuzhou/110419762.html?s=01&t=0,徐州一团网络科技有限公司,徐州,1.5-3万/月,06-26
Android开发工程师,https://jobs.51job.com/xuzhou/104658684.html?s=01&t=0,徐州矿一自动化科技有限公司,徐州,6-8千/月,05-29
软件工程师（徐州新沂）,https://jobs.51job.com/xuzhou/113077048.html?s=01&t=0,江苏利民检测技术有限公司,徐州,6-8千/月,06-26
