职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['JAVA开发项目经理'],['https://jobs.51job.com/jinshuiqu/86249497.html?s=01&t=0'],['河南盘古科技发展有限公司'],['郑州-金水区'],['0.8-1.5万/月'],['06-28']
['JAVA中级软件开发工程师'],['https://jobs.51job.com/jinshuiqu/109209427.html?s=01&t=0'],['凯通科技股份有限公司'],['郑州-金水区'],['0.6-1万/月'],['06-28']
['JAVA大数据开发助理'],['https://jobs.51job.com/erqiqu/114837746.html?s=01&t=0'],['河南博堂电子科技有限公司'],['郑州-二七区'],['6-8千/月'],['06-28']
['java开发'],['https://jobs.51job.com/zhengzhou/84272328.html?s=01&t=0'],['云计划软件科技（上海）有限公司'],['郑州'],['5-8千/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/jinshuiqu/114639263.html?s=01&t=0'],['河南正同信息技术有限公司'],['郑州-金水区'],['5-8千/月'],['06-28']
['软件工程师'],['https://jobs.51job.com/zhongyuanqu/108342805.html?s=01&t=0'],['郑州水工机械有限公司'],['郑州-中原区'],['3.5-5千/月'],['06-18']
['java开发工程师（郑州）'],['https://jobs.51job.com/zhengzhou/93122347.html?s=01&t=0'],['江苏国泰新点软件有限公司'],['郑州'],['6-8千/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/95480056.html?s=01&t=0'],['河南信安通信技术股份有限公司'],['郑州'],['5-8千/月'],['06-28']
['平台软件开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/111040618.html?s=01&t=0'],['杭州智诺科技股份有限公司'],['郑州-管城回族区'],['6-8千/月'],['06-17']
['Java开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/94868464.html?s=01&t=0'],['郑州科瑞思拓软件科技有限公司'],['郑州-管城回族区'],['0.6-1万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/110463774.html?s=01&t=0'],['天宇正清科技有限公司'],['郑州-郑东新区'],['1-1.5万/月'],['06-27']
['前端开发工程师（中级）'],['https://jobs.51job.com/zhengzhou-gxq/113486242.html?s=01&t=0'],['郑州金惠计算机系统工程有限公司'],['郑州-高新区'],['5-7千/月'],['06-17']
['JAVA开发'],['https://jobs.51job.com/zhengzhou/110585641.html?s=01&t=0'],['河南同理信息科技有限公司'],['郑州'],['5-8千/月'],['06-24']
