ID,工作名称,招聘详细链接,公司名称,公司ID,公司性质,公司规模,公司招聘主页,公司地点,薪资,学历要求,工作经历,职位类型,公司福利,工作发布标签,更新时间
CC303587813J90250321000,软件研发工程师,https://jobs.zhaopin.com/303587813250321.htm,北京森美希克玛生物科技有限公司,CZ303587810,民营,20-99人,https://company.zhaopin.com/CZ303587810.htm,北京-通州区,10K-20K,本科,3-5年,全职,五险一金、绩效奖金、带薪年假、定期体检、免费班车,最近,2019-06-26 11:21:55
CC148208886J00129194514,高级存储开发工程师,https://jobs.zhaopin.com/CC148208886J00129194514.htm,北京谷数科技有限公司,CZ148208880,民营,100-499人,https://company.zhaopin.com/CZ148208880.htm,北京-海淀区,20K-30K,本科,5-10年,全职,五险一金、补充医疗保险、定期体检、节日福利、弹性工作,招聘中,2019-06-21 14:33:27
CC120067657J90251601000,数据分析工程师,https://jobs.zhaopin.com/120067657251601.htm,北京锐安科技有限公司,CZ120067650,股份制企业,1000-9999人,https://company.zhaopin.com/CZ120067650.htm,北京,15K-20K,本科,3-5年,全职,节日福利、周末双休、五险一金、年底双薪、餐补,最近,2019-06-26 11:58:54
CC333330380J00059929313,后端开发工程师（python、go）,https://jobs.zhaopin.com/CC333330380J00059929313.htm,观止云(北京)信息技术有限公司,CZ333330380,民营,20-99人,https://company.zhaopin.com/CZ333330380.htm,北京,12K-18K,本科,3-5年,全职,五险一金、绩效奖金、全勤奖、餐补、通讯补助,最新,2019-06-28 08:32:21
CC392645925J00096572812,python高级讲师,https://jobs.zhaopin.com/CC392645925J00096572812.htm,北京优思安科技有限公司,CZ392645920,民营,100-499人,https://company.zhaopin.com/CZ392645920.htm,北京,20K-30K,本科,5-10年,全职,免费班车、节日福利、餐补、五险一金、周末双休,最新,2019-06-28 08:20:12
CC120839499J00142721312,python开发工程师,https://jobs.zhaopin.com/CC120839499J00142721312.htm,北京银信长远科技股份有限公司,CZ120839490,上市公司,500-999人,https://company.zhaopin.com/CZ120839490.htm,北京-朝阳区,10K-15K,大专,1-3年,全职,五险一金、餐补、通讯补助、带薪年假、弹性工作,最新,2019-06-28 00:56:38
CZ613196830J00153077814,Python 开发工程师,https://jobs.zhaopin.com/CZ613196830J00153077814.htm,北京睿航至臻科技有限公司,CZ613196830,民营,20-99人,https://company.zhaopin.com/CZ613196830.htm,北京-海淀区,10K-15K,本科,1-3年,全职,五险一金、餐补、交通补助、通讯补助、带薪年假,最新,2019-06-27 21:01:21
CC877488720J00151527810,算法开发实习生（python方向）,https://jobs.zhaopin.com/CC877488720J00151527810.htm,北京通易保科技有限公司,CZ877488720,民营,100-499人,https://company.zhaopin.com/CZ877488720.htm,北京,8K-10K,学历不限,无经验,校园,五险一金、包吃、包住、14薪、周末双休,最新,2019-06-27 22:58:03
CC232405817J00092536909,Python开发工程师,https://jobs.zhaopin.com/CC232405817J00092536909.htm,北京东方国信科技股份有限公司,CZ232405810,上市公司,1000-9999人,https://company.zhaopin.com/CZ232405810.htm,北京,10K-15K,本科,1-3年,全职,14薪、周末双休、五险一金、年底双薪、定期体检,最新,2019-06-27 17:42:33
CC287853488J00171483213,python Web开发工程师,https://jobs.zhaopin.com/CC287853488J00171483213.htm,北京众星智能科技有限责任公司,CZ287853480,民营,20-99人,https://company.zhaopin.com/CZ287853480.htm,北京,10K-20K,本科,3-5年,全职,创业公司、绩效奖金、股票期权、带薪年假、弹性工作,最新,2019-06-27 16:41:46
